soru,dogruCevap,aciklama,secenekA,secenekB,secenekC,secenekD,secenekE,soruSirasi,source,konuGrubu
"Elli yaşındaki kadın hasta; epigastriumda ani başlayan, sırta ve tüm kadranlara yayılan karın ağrısı nedeni ile acil servise başvuruyor. Fizik muayenesinde karnın üst ve orta kadranlarında hassasiyet tespit ediliyor. Laboratuvar tetkiklerinde serum amilaz ve lipaz değerleri yüksek saptanıyor.

Bu hastada tanı ve diğer abdominal hastalıkların ekarte edilmesi için tercih edilmesi gereken en uygun radyolojik görüntüleme yöntemi aşağıdakilerden hangisidir?",D,,Ayakta direkt karın grafisi,Abdominal ultrasonografi,Abdominal manyetik rezonans görüntüleme,Kontrastlı abdominal bilgisayarlı tomografi,Posteroanterior akciğer grafisi,95.0,,
Aşağıdakilerden hangisinin glukoserebrosid birikimi yoluyla splenomegaliye neden olması en olasıdır?,A,,Gaucher hastalığı,Niemann-Pick hastalığı,Felty sendromu,Wiskott-Aldrich sendromu,von Recklinghausen sendromu,96.0,,
"Otuz yıldır sigara içen 65 yaşındaki erkek hasta, rutin muayene için aile hekimine başvuruyor. Muayenede umbilikus hizasında yaklaşık 6 cm çapında pulsatil kitle ele geliyor.

Bu hastada tanı için istenmesi gereken abdominal bölgeye yönelik ilk görüntüleme yöntemi aşağıdakilerden hangisidir?",C,,Bilgisayarlı tomografi,Bilgisayarlı tomografi anjiyografi,Ultrasonografi,Manyetik rezonans görüntüleme,Manyetik rezonans anjiyografi,97.0,,
Aşağıdakilerden hangisi sedatif etkileri olan bir parenteral selektif α2-agonisttir?,A,,Deksmedetomidin,Adrenalin,Efedrin,Dopeksamin,Fentolamin,98.0,,
"Rinoplasti ameliyatı için %50 azot protoksit/oksijen içinde sevofluran anestezisi uygulanan 25 yaşındaki hastada, operasyonun 30. dakikasında taşikardi ve hipertansiyon saptanıyor.

Bu hastada aşağıdakilerden hangisinin ayırıcı tanıda yer alması en az olasıdır?",D,,Hiperkarbi,Hipoksi,Malign hipertermi,Derin anestezi,Tiroid fırtınası,99.0,,
Aşağıdakilerden hangisi periferik sinir bloklarının kontrendikasyonlarından biri değildir?,E,,Hastanın reddetmesi,Girişim yerinde enfeksiyon bulunması,Hastanın lokal anestezik alerjisi olması,Blok yapılacak sinirde önceden hasar mevcut olması,Obstrüktif uyku apnesi öyküsü,100.0,,
"Light kriterlerine göre, aşağıdakilerden hangisi plevral sıvının eksuda niteliğinde olduğuna karar vermek için kullanılır?",B,,HDL,LDH,ALT,GGT,ALP,101.0,,
Konjenital özofagus atrezisi ve trakeoözofageal fistül (TÖF) anomalisinin en sık görülen tipi hangisidir?,C,,İzole özofageal atrezi,Proksimal ve distal TÖF’lü özofageal atrezi,Distal TÖF’lü özofageal atrezi,Proksimal TÖF’lü özofageal atrezi,H tipi TÖF,102.0,,
Aşağıdakilerin hangisinde periferik sinir tuzak nöropatisi gelişmesi olasılığı en düşüktür?,A,,Hipertiroidi,Akromegali,Diabetes mellitus,Romatoid artrit,Gut,103.0,,
"Başparmak metakarpofalangeal eklemde ulnar kollateral bağ yaralanmalarında kopan ulnar kollateral bağ ile, bağın proksimal falanksa yapışma yeri arasına girerek primer iyileşmeyi engelleyen yapı (Stener lezyonu) aşağıdakilerden hangisidir?",D,,Ekstensor pollisis longus tendonu,Abduktor pollisis brevis kası,Radial süperfisyal sinir,Adduktor pollisis aponörozu,Fleksor pollisis brevis tendonu,104.0,,
Aşağıdakilerden hangisinin Marjolin ülseri zemininde gelişme olasılığı diğerlerine göre daha yüksektir?,E,,Sebasöz karsinom,Bazal hücreli karsinom,Malign melanom,Malign fibröz histiyositom,Skuamöz hücreli karsinom,105.0,,
Erkeklerde penis tunica albuginea’sında oluşan travma sonrasında anormal yara iyileşmesi ve fibrotik plaklara bağlı gelişen ve genellikle penil deformiteyle karakterize olan hastalık aşağıdakilerden hangisidir?,E,,Bowen hastalığı,Balanit,Skleroderma,Penis kanseri,Peyronie hastalığı,106.0,,
"Yirmi iki yaşındaki erkek hasta, üç aydır boynunda şişlik, burun tıkanıklığı, kulağında tıkanıklık hissi ve işitme kaybı nedeniyle başvuruyor. Fizik muayenede sağ boyun posterior üçgende yaklaşık 3 cm çapında, çevre dokuya fikse lenfadenopati, otoskopide sağ tarafta seröz otitis media ile uyumlu orta kulak efüzyonu saptanıyor.

Bu hastalığın tanısında öncelikli olarak yapılması gereken endoskopik muayene aşağıdakilerden hangisidir?",D,,Özofagoskopi,Laringoskopi,Bronkoskopi,Nazofaringoskopi,Siyalendoskopi,107.0,,
"Yetmiş sekiz yaşındaki kadın hasta, sağ gözde ani görme azlığı ve sağ alın bölgesinde ağrı şikâyetleriyle başvuruyor. Oftalmolojik muayenesinde sağ gözünde sadece ışık hissi olduğu, ön segment yapılarının normal olduğu, arka segment muayenesinde ise sağ optik sinir başında tebeşirimsi solukluk ve ödem olduğu görülüyor. Sol gözde bir patoloji saptanmayan hastanın kan incelemesinde eritrosit sedimentasyon hızı 69 mm/saat olarak bulunuyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",B,,Non-arteritik anterior iskemik optik nöropati,Arteritik anterior iskemik optik nöropati,İdiyopatik intrakraniyal hipertansiyon,Demiyelinize optik nörit,Akut glokom krizi,108.0,,
"Yirmi sekiz yaşında, G3P2, erken dönem ultrasonografi verileri ve son âdet tarihine göre 41 hafta 4 güne ulaşmış gebenin hâlâ sancıları başlamamış olduğundan aile ile konuşularak doğum indüksiyonu kararı alınıyor. Ultrasonografik incelemede plasenta fundal yerleşimli ve fetus baş prezentasyonunda olarak izleniyor; tahmini fetal ağırlık 3.300 gram ölçülüyor. Pelvik muayenede, pelvis doğuma uygun, servikal açıklık 4 cm, serviks santralize, kıvamı yumuşak, silinme yok ve baş seviyesi -2 şeklinde değerlendiriliyor.

Bu gebenin Bishop skoru kaçtır?",A,,6,5,4,3,2,109.0,,
"Doğum eyleminde izlenen bir gebenin vajinal muayenesinde; fetal başın sol oksiput transvers pozisyonda olduğu, sutura sagittalisin pubise yakın olup posterior pariyetal kemiğin pelvise prezente olduğu anlaşılıyor.

Bu durum aşağıdakilerden hangisiyle adlandırılır?",B,,Normal sinklitizm,Posterior asinklitizm,Fetal başın defleksiyonu,Anterior asinklitizm,Yüksekte düz duruş,110.0,,
"Gebeliğinde preeklampsi geçiren bir kadında, uzun dönemde aşağıdakilerden hangisinin görülmesi daha az olasıdır?",D,,İskemik kalp hastalığı,İnme,Venöz tromboemboli,Trombositopenik purpura,Kronik hipertansiyon,111.0,,
"Otuz yaşında, daha önce bir vajinal doğum yapmış ve son âdet tarihine göre 35 hafta 2 günlük gebeliği olan kadın vajenden su gelmesi nedeniyle acil servise başvuruyor. Öyküsünde folik asit kullanımı dışında ek bir özelliği bulunmayıp genel durumu iyi ve vital bulguları normal değerlerde saptanıyor. Ultrasonografik incelemede amniyon sıvısı hafif azalmış ve fetus baş gelişi olarak izleniyor. Spekulum muayenesinde göllenme görülen ve nitrazin testinde bazik değerler tespit edilen hastaya, grup B streptokok profilaksisi için antibiyotik tedavisi başlanıyor ve antenatal kortikosteroid uygulanıyor.

Bu hastanın yönetiminde aşağıdakilerden hangisi en uygundur?",E,,İndometazin ile tokoliz yapılmalıdır.,Servikal serklaj uygulanmalıdır.,İntravenöz MgSO4 başlanıp izleme alınmalıdır.,Nifedipin ile tokoliz yapılmalıdır.,Doğum indüksiyonu planlanmalıdır.,112.0,,
"Spontan vajinal yolla doğum sonrasında devam eden ateş şikâyetiyle başvuran hasta puerperal endometrit tanısı ile hastaneye yatırılıyor.

Bebeğini emzirmekte olan bu hastada, ampirik olarak düzenlenecek parenteral antibiyoterapi için öncelikli olarak tercih edilecek en uygun ajanlar aşağıdakilerden hangisinde birlikte verilmiştir?",E,,Piperasilin tazobaktam + Metronidazol,Amoksisilin + Trimetoprim-sulfametoksazol,Doksisiklin + Metronidazol,Vankomisin + Metronidazol,Klindamisin + Gentamisin,113.0,,
Aşağıdakilerden hangisi primer dismenorenin patofizyolojisinde rol oynayan temel faktördür?,B,,Miyometriumdan aşırı relaksin salınması,Endometriyumdan aşırı prostaglandin salınması,Retrograd menstruasyon varlığı,Endometriyumun metaplastik değişimi,Douglas boşluğunda yaygın adezyonlar,114.0,,
Aşağıdakilerden hangisi pelvik organ prolapsusu için olası risk faktörlerinden biri değildir?,C,,Menopoz,Obezite,Astım,Nulliparite,Kronik konstipasyon,115.0,,
"Erişkin hayatta genellikle rudimente olan, ancak bazen içi sıvı dolarak labia majora’nın üstünde kistik lezyon ile prezente olabilen, peritonun inguinal kanala protrüzyonu ile oluşan anatomik yapı aşağıdakilerden hangisidir?",A,,Nuck kanalı,Gubernakulum ovari,Gartner kanalı,Gimbernat ligamanı,Cooper ligamanı,116.0,,
"Pelvik inflamatuvar hastalığın etiyolojisinde;

I. Escherichia coli
II. Neisseria gonorrhoeae
III. Mycoplasma genitalium
IV. Staphylococcus aureus
V. Chlamydia trachomatis

mikroorganizmalarından hangi ikisi en sık rol oynar?",D,,I ve IV,I ve V,II ve IV,II ve V,III ve IV,117.0,,
Aşağıdakilerden hangisi ovulasyon indüksiyonunda kullanılan ajanlardan biri değildir?,B,,Klomifen sitrat,Finasterid,Letrozol,Human menopozal gonadotropin,Rekombinant FSH,118.0,,
Prematür ovaryan yetersizlik tanısı alan genç bir hastada etiyolojiyi anlamak için aşağıdakilerden hangisinin ilk basamakta yapılması uygun değildir?,E,,FMR1 premutasyon analizi,Otoimmün antikor analizi,Karyotipleme,Gonadotoksisite öyküsü sorgulama,Over doku biyopsisi,119.0,,
"Rutin muayene için başvuran 32 yaşındaki kadının jinekolojik muayenesinde anormal bulguya rastlanmıyor. Servikal sitoloji sonucu, düşük dereceli skuamöz intraepitelyal lezyon (LSIL) olarak belirleniyor. Kolposkopik inceleme tatminkâr olarak değerlendirilip lezyonun ektoservikse sınırlı olduğu görülüyor. Endoservikal örneklemesi negatif olan hastadan kolposkopi eşliğinde alınan biyopsinin sonucu ise servikal intraepitelyal neoplazi 1 (CIN 1) olarak rapor ediliyor.

Bu hasta için aşağıdaki yaklaşımlardan hangisi en uygundur?",C,,3 yıl sonra sitoloji,Transformasyon zonunun eksizyonu,12 ay sonra sitoloji ve HPV testi,Transformasyon zonunun ablasyonu,Servikal koterizasyon,120.0,,
"Trafik kazası sonucu orbitanın medial duvarında kırık tespit edilen bir hastada, kırık hattının aşağıdaki kemik yapıların hangisinden geçmesi en az olasıdır?",E,,Crista lacrimalis anterior,Crista lacrimalis posterior,Lamina perpendicularis (os ethmoidale),Processus frontalis (Maxilla),Corpus ossis sphenoidalis,1.0,,
Resim var,C,,Ligamentum cruciatum anterius,Ligamentum cruciatum posterius,Meniscus lateralis,Meniscus medialis,Ligamentum patellae,2.0,,
"Solunum sıkıntısı şikâyetiyle başvuran bir hastanın toraks görüntülenmesinde bifurcatio tracheae’nin alt komşuluğundaki lenf nodülleri tarafından bası altında olduğu izleniyor.

Bu hastada izlenen nodüller aşağıdakilerden hangisidir?",E,,Nodi lymphoidei bronchopulmonales,Nodi lymphoidei intrapulmonales,Nodi lymphoidei paratracheales,Nodi lymphoidei intercostales,Nodi lymphoidei tracheobronchiales,3.0,,
"""Lisfranc hattı"" olarak da bilinen ve distal ayak amputasyonlarının yapıldığı eklem hattı aşağıdakilerden hangisidir?",B,,Articulatio tarsi transversa,Articulationes tarsometatarsales,Articulatio calcaneocuboidea,Articulatio talocalcaneonavicularis,Articulatio talocalcanea,4.0,,
"I. Arteria cerebelli superior’un dalıdır.
II. 8. kafa çifti ile birlikte meatus acusticus internus’tan geçer.
III. Auris interna’yı kanlandırır.
IV. Beyin tabanında 7. kafa çifti ile komşuluğu vardır.

Arteria labyrinthi ile ilgili yukarıdaki ifadelerden hangileri doğrudur?",C,,II ve III,"I, II ve III","II, III ve IV","I, II ve IV","I, II, III ve IV",5.0,,
Musculus stapedius ve musculus tensor tympani’ye etki ederek işitmede etkili olan sinirler aşağıdakilerden hangisinde birlikte verilmiştir?,D,,Nervus maxillaris – Nervus mandibularis,Nervus mandibularis – Nervus vagus,Nervus facialis – Nervus mandibularis,Nervus facialis – Nervus vagus,Nervus vagus – Nervus accessorius,6.0,,
Sella turcica bölgesindeki bir lezyonun aşağıdaki yapılardan hangisini etkilemesi en az olasıdır ?,E,,Arteria carotis interna,Nervus trochlearis,Nervus ophthalmicus,Nervus abducens,Nervus mandibularis,7.0,,
Karpal tünel sendromunda aşağıdaki fizik muayene bulgularından hangisinin görülmesi beklenmez?,E,,Başparmak fleksiyon kusuru,Başparmak abduksiyon kusuru,Başparmak oppozisyon kusuru,İkinci parmak palmar yüzde duyu kaybı,Hipotenar bölgede duyu kaybı,8.0,,
Medulla spinalis’te columna intermediolateralis’den çıkan preganglionik sempatik lifler aşağıdaki anatomik yapılardan hangisiyle truncus sympathicus’a iletilir?,D,,Ramus posterior (dorsalis) nervus spinalis,Radix posterior nervus spinalis,Nervus erigentes,Ramus communicans albus,Ramus communicans griseous,9.0,,
"Göğüs ön duvarından delici bıçak yaralanması ile gelen bir hastada, yaralanmanın akciğer orta lobunu zedelemesi için en olası lokalizasyon aşağıdakilerden hangisidir?",D,,Sağ paravertebral çizgide T7 vertebra seviyesinde,Sağ parasternal çizgide angulus sterni hizasında,Sol paravertebral çizgide T4 vertebra seviyesinde,Sağ parasternal çizgide 4. ve 6. kostalar arasında,Sağ midaksiller çizgide 9. ve 10. kostalar arasında,10.0,,
Aşağıdaki anatomik yapılardan hangisi organogenez esnasında intraperitoneal olup sonrasında retroperitoneal hâle gelmiştir?,C,,Splen,Colon sigmoideum,Colon descendens,Gaster,Jejunum,11.0,,
Endoskopik bir girişim esnasında ductus choledochus açıklığının sindirim kanalının hangi bölümünde gözlenmesi en olasıdır?,C,,Gaster,Bulbus duodeni,Pars descendens duodeni,Pars horizontalis duodeni,Flexura duodenojejunalis,12.0,,
Resim var,D,,A,B,C,D,E,13.0,,
Normal doğum sırasında corpus perineale (centrum perinei) yırtığı gelişen bir kadında aşağıdaki kaslardan hangisinin etkilenmesi en az olasıdır?,A,,Musculus ischiocavernosus,Musculus bulbospongiosus,Musculus transversus perinei superficialis,Musculus puborectalis,Musculus sphincter ani externus,14.0,,
Hücre siklusunun hangi fazında siklin D’nin aktivasyonu Rb proteininin fosforilasyonunu uyarır?,D,,M fazı,Geç G2 fazı,Erken G1 fazı,Geç G1 fazı,Erken S fazı,15.0,,
Aşağıdakilerden hangisinin yapısında perikondriyum içermeyen hiyalin kıkırdak bulunur?,C,,Kulak kepçesi,Trakea,Eklem kıkırdağı,İntervertebral disk,Epiglottis,16.0,,
Tüm hücrelerin bazal membran üzerine oturduğu epitel dokusu tipi aşağıdakilerden hangisidir?,B,,Değişici epitel,Yalancı çok katlı epitel,Keratinize çok katlı yassı epitel,Çok katlı prizmatik epitel,Çok katlı kübik epitel,17.0,,
İntervertebral diskin nukleus pulposus bölümü aşağıdaki embriyonik yapıların hangisinden gelişir?,C,,Nöral krista,Nöral ektoderm,Notokord,Somit,Endoderm,18.0,,
Embriyolojik gelişim sürecinde meydana gelen gastrulasyon nasıl tanımlanır?,E,,Blastokist implantasyonunun tamamlanması,İki tabakalı embriyon diskinin baş-kuyruk ekseninde büyümesi,Embriyonun baş-kuyruk yönünde bükülmesi,Embriyoblastlardan iki tabakalı embriyon diskinin oluşumu,Embriyon diskinin üç tabakalı hâle dönüşmesi,19.0,,
Aşağıdaki hücrelerden hangisi hipofiz bezinin arka lobunda bulunur?,B,,Pinealosit,Pituisit,Kromofob hücre,Oksifil hücre,Folliküler hücre,20.0,,
"Bir deney hayvanına karbon partikül içerikli vital boya uygulamasından beş saat sonra karaciğerden alınan doku kesiti, hematoksilen-eozin ile boyanıp ışık mikroskobunda inceleniyor.

Bu görüntüde siyah renkte olan hücreler aşağıdakilerden hangisidir?",B,,Perisit,Kupffer hücresi,Hepatosit,İto hücresi,Endotel,21.0,,
Olfaktör epitelde bulunan nöronlar hangi tiptir?,E,,Psödounipolar,İnternöron,Motor,Multipolar,Bipolar,22.0,,
"Aşağıdaki hormonlardan hangisinin hücre içi sinyal iletimindeki temel etki mekanizması, membrandaki reseptörüne bağlanarak hücre içi guanilil siklaz-cGMP ikinci haberci yolağını aktive etmektir?",A,,Atrial natriüretik peptid,Adrenalin,Anjiyotensin II,Antidiüretik hormon,Asetilkolin,23.0,,
Myastenia gravis hastalığı ile ilgili aşağıdaki ifadelerden hangisi doğrudur?,E,,Sinir-kas kavşağında presinaptik voltaj kapılı kalsiyum kanallarına karşı antikor olması,Sinir-kas kavşağında presinaptik nörotransmiter salgılanmasını engelleyen nörotoksin olması,Çizgili kasta distrofin proteininin bulunmaması,Bazal gangliyonlarda dopaminerjik nöron ve reseptörlerinin kaybı,Sinir-kas kavşağında postsinaptik asetilkolin reseptörlerine karşı antikor olması,24.0,,
Dördüncü kalp sesi ventriküler döngünün hangi evresinde oluşur?,A,,Doluş evresinin ilk 1/3'lük döneminde,Eş hacimli kasılma döneminin öncesinde,Eş hacimli gevşeme döneminde,Eş hacimli kasılma döneminde,Fırlatma döneminde,25.0,,
Normal solunumdaki akciğerlerin inspirasyon ve ekspirasyonu sırasında oluşan ve atmosferden hava giriş çıkışını sağlayan basınç değişimleriyle ilgili aşağıdaki ifadelerden hangisi doğrudur?,A,,İnspirasyon oluşması için intraplevral basınç istirahattaki değerine göre daha negatif olur.,İnspirasyon oluşması için intraplevral basınç atmosferik basınca eşit olmalıdır.,Ekspirasyon oluşması için alveoler basınç atmosferik basınçtan pozitife doğru artar ve intraplevral basınç farkı daha negatif olur.,Ekspirasyon oluşması için alveoler basınç pozitiften atmosferik basınç değerine doğru düşerken intraplevral basınç değişmez.,Transpulmoner basınç olarak tanımlanan alveol basıncı ile visseral - parietal plevra arası basınç farkı artışında akciğer volümü azalır.,26.0,,
İskelet kası sarkolemmasında bulunan transvers tübüllerin görevi aşağıdakilerden hangisidir?,C,,Hücre dışı sıvıdaki kalsiyum iyonlarının hücreye girişini sağlamak,Kas hücresine sodyum iyonlarının girişini sağlamak,Aksiyon potansiyelinin dihidropiridin reseptörlerine ulaşmasını sağlamak,Asetilkolinin geri emilimini sağlamak,Hücre içinde kalsiyum iyonlarını depolamak,27.0,,
